institution name,"DRVGR2022.Graduation rate, total cohort",HD2022.Degree of urbanization (Urban-centric locale),"EF2022D.Full-time retention rate, 2022",American Indian or Alaska Native,Asian,Black or African American,Hispanic,Native Hawaiian or Other Pacific Islander,White,Two or more races,Race/ethnicity unknown,U.S. Nonresident,EF2022A.Grand total,Cluster
California State University-Dominguez Hills,46.0,City: Small,70.0,0.1095823694143431,7.512480214294412,11.049555582612932,67.78887130159504,0.2252526482405941,6.568854255448679,2.1612078412273226,2.8795811518324608,1.7046146353342264,16426,3
California State University-Fresno,56.0,City: Large,76.0,0.2875119796658194,12.004666861119214,2.80011667152798,59.1232968040335,0.13333888912038,16.896537355723154,2.3875994833118046,3.3834743114296426,2.983457644068503,23999,3
California State University-Fullerton,69.0,Suburb: Large,86.0,0.0990442232456791,21.831822908928835,2.240875550933492,50.17827960184222,0.1535185460308027,16.43391274203932,3.590353092655871,2.47610558114198,2.996087753181796,40386,3
California State University-East Bay,46.0,Suburb: Large,75.0,0.1535873619542163,21.86791486871937,8.79104805090324,36.21004900168215,0.97271995904337,16.221750895926277,4.812404007898778,3.8396840488554087,7.1308418050171865,13673,3
California State University-Long Beach,73.0,City: Large,85.0,0.1103327944987555,20.819541734020987,3.648679855284428,48.57722012675442,0.2180997100556795,16.134246786236623,4.333769532753444,2.3067251687065404,3.851384291689118,38973,3
California State University-Los Angeles,51.0,City: Large,73.0,0.1247165532879818,11.315192743764172,3.949357520786092,72.86848072562358,0.0718065003779289,5.597127739984883,1.5117157974300832,2.3356009070294785,2.2260015117157974,26460,3
California State University-Northridge,56.0,City: Large,75.0,0.0745096995662471,8.898586976768941,4.656856222890444,53.50594747066181,0.138375156337316,20.051092365416856,2.953777375661939,5.383325793661353,4.337528939035099,37579,3
California State University-Sacramento,54.0,City: Large,80.0,0.2765730089886228,19.84097051983154,6.314036080206173,37.6359293481677,0.9460054057451758,23.66584951914011,5.688603934879628,3.5388773650135144,2.093154818027532,31818,3
University of California-Berkeley,94.0,City: Midsize,96.0,0.139051360716887,30.33085395192796,2.516167479638908,17.478535325667117,0.1346370318052398,22.886088242434944,5.484803672721655,3.0194009755666893,18.010461959520605,45307,5
University of California-Davis,86.0,Suburb: Small,92.0,0.1436528138309937,28.070263867536983,1.9733360215731244,22.07716928350009,0.2520224804052521,24.070667103505635,5.962851886388266,1.9884573703974395,15.46157917286222,39679,5
