institution name,"DRVGR2022.Graduation rate, American Indian or Alaska Native","DRVGR2022.Graduation rate, Asian/Native Hawaiian/Other Pacific Islander","DRVGR2022.Graduation rate, Asian","DRVGR2022.Graduation rate, Native Hawaiian or Other Pacific Islander","DRVGR2022.Graduation rate, Black, non-Hispanic","DRVGR2022.Graduation rate, Hispanic","DRVGR2022.Graduation rate, White, non-Hispanic","DRVGR2022.Graduation rate, two or more races","DRVGR2022.Graduation rate, Race/ethnicity unknown","DRVGR2022.Graduation rate, U.S. Nonresident",HD2022.Degree of urbanization (Urban-centric locale),HD2022.Institution size category,Cluster
Southern Arkansas University Main Campus,57.0,56.0,60.0,50.0,31.0,45.0,49.0,85.0,100.0,35.0,Town: Remote,"5,000 - 9,999",6
California Polytechnic State University-San Luis Obispo,86.0,87.0,88.0,71.0,92.0,79.0,87.0,81.0,84.0,81.0,Suburb: Small,"20,000 and above",9
California State University-Bakersfield,50.0,64.0,65.0,0.0,43.0,49.0,50.0,44.0,67.0,48.0,City: Large,"5,000 - 9,999",4
California State University-Stanislaus,67.0,59.0,61.0,33.0,56.0,53.0,63.0,58.0,49.0,44.0,Suburb: Small,"10,000 - 19,999",2
California State University-San Bernardino,50.0,66.0,66.0,0.0,45.0,54.0,53.0,52.0,63.0,56.0,City: Midsize,"10,000 - 19,999",2
California State Polytechnic University-Pomona,71.0,78.0,78.0,57.0,50.0,60.0,76.0,69.0,64.0,60.0,Suburb: Large,"20,000 and above",5
California State University-Chico,40.0,57.0,58.0,43.0,47.0,61.0,69.0,63.0,73.0,61.0,City: Midsize,"10,000 - 19,999",2
California State University-Dominguez Hills,,56.0,58.0,0.0,44.0,48.0,46.0,36.0,28.0,32.0,City: Small,"10,000 - 19,999",2
California State University-Fresno,56.0,50.0,51.0,33.0,38.0,57.0,66.0,55.0,55.0,49.0,City: Large,"20,000 and above",0
California State University-Fullerton,60.0,75.0,75.0,57.0,63.0,66.0,75.0,69.0,80.0,65.0,Suburb: Large,"20,000 and above",5
California State University-East Bay,50.0,56.0,56.0,50.0,44.0,42.0,55.0,39.0,51.0,37.0,Suburb: Large,"10,000 - 19,999",2
California State University-Long Beach,71.0,78.0,78.0,40.0,62.0,70.0,77.0,70.0,66.0,66.0,City: Large,"20,000 and above",0
California State University-Los Angeles,0.0,67.0,67.0,29.0,38.0,51.0,46.0,47.0,46.0,47.0,City: Large,"20,000 and above",0
California State University-Northridge,25.0,66.0,66.0,57.0,41.0,53.0,68.0,58.0,51.0,53.0,City: Large,"20,000 and above",0
California State University-Sacramento,13.0,57.0,57.0,58.0,43.0,53.0,58.0,57.0,57.0,57.0,City: Large,"20,000 and above",0
University of California-Berkeley,100.0,96.0,96.0,93.0,81.0,87.0,95.0,92.0,95.0,94.0,City: Midsize,"20,000 and above",9
University of California-Davis,100.0,91.0,91.0,76.0,78.0,80.0,88.0,90.0,89.0,85.0,Suburb: Small,"20,000 and above",9
University of California-Irvine,100.0,92.0,92.0,82.0,77.0,81.0,87.0,85.0,96.0,86.0,City: Large,"20,000 and above",0
University of California-Los Angeles,81.0,95.0,95.0,80.0,84.0,90.0,93.0,93.0,94.0,91.0,City: Large,"20,000 and above",0
University of California-Riverside,67.0,83.0,83.0,75.0,72.0,74.0,75.0,69.0,69.0,65.0,City: Large,"20,000 and above",0
